,formulas,rmse,pearson_coeff,pval
180,(EA_A + IP_B**2)/(exp(EA_A)),0.2075039445119275,-0.10325707554433228,0.3559296885234846
181,(EA_A + IP_B**2)/(exp(EA_B)),0.1951048968995861,-0.2780886801170046,0.011417622464970243
182,(EA_A + IP_B**2)/(exp(IP_A)),0.2060549890567226,0.4229191265402239,7.547525211345054e-05
183,(EA_A + IP_B**2)/(exp(IP_B)),0.2045816944082941,-0.15286564845492462,0.17035016656753468
184,(EA_A + IP_B**2)/(exp(Z_A)),0.2127580524538767,0.018782322598941394,0.8669885751696547
185,(EA_A + IP_B**2)/(exp(Z_B)),0.1695440848697919,0.5176003895068433,6.370394674389274e-07
186,(EA_A + IP_B**2)/(exp(rp_A)),0.1454908897475707,0.5941313323992634,4.002317362298248e-09
187,(EA_A + IP_B**2)/(exp(rp_B)),0.2052985651578806,-0.1582667263419897,0.15556919875770195
188,(EA_A + IP_B**2)/(exp(rs_A)),0.1922134908441309,0.3276636559225602,0.002655855997318582
189,(EA_A + IP_B**2)/(exp(rs_B)),0.2037957409074642,-0.18058165730499268,0.10448048745619157
190,(EA_A + IP_B**2)/(sqrt(fabs(EA_A))),0.219351820375893,-0.051542935612361826,0.6456011759550114
191,(EA_A + IP_B**2)/(sqrt(fabs(EA_B))),0.2126600726962921,0.01519577194691903,0.8922174448146494
192,(EA_A + IP_B**2)/(sqrt(fabs(IP_A))),0.1934838284095051,-0.29479265832927165,0.007177278997885285
193,(EA_A + IP_B**2)/(sqrt(fabs(IP_B))),0.200590157376058,-0.22275652361736123,0.044269571360623296
194,(EA_A + IP_B**2)/(sqrt(fabs(Z_A))),0.2125116843278785,0.06099207032867157,0.5862110323517024
195,(EA_A + IP_B**2)/(sqrt(fabs(Z_B))),0.2100903302511093,-0.06462651944000394,0.5640493474167684
196,(EA_A + IP_B**2)/(sqrt(fabs(rp_A))),0.2119363290043192,0.055589891604524745,0.6198635385835947
197,(EA_A + IP_B**2)/(sqrt(fabs(rp_B))),0.2042487334891664,-0.17351909399066126,0.11899358380619612
198,(EA_A + IP_B**2)/(sqrt(fabs(rs_A))),0.211339687607849,-0.010843234964356525,0.922976480618545
199,(EA_A + IP_B**2)/(sqrt(fabs(rs_B))),0.2031431619312996,-0.18922960089829427,0.08863155398158978
200,(EA_A + IP_B**3)/((EA_A**2)),0.1984010139018217,-0.35992893319721214,0.0008959413038784761
201,(EA_A + IP_B**3)/((EA_A**3)),0.1797205043322525,0.4672898044375656,9.604106460724298e-06
202,(EA_A + IP_B**3)/((EA_B**2)),0.1629276803879401,-0.5614273429990266,4.087266368574753e-08
203,(EA_A + IP_B**3)/((EA_B**3)),0.1640759628529697,0.58037896388729,1.096951900231266e-08
204,(EA_A + IP_B**3)/((IP_A**2)),0.1967038734011693,0.2833639907601421,0.009889071350359917
205,(EA_A + IP_B**3)/((IP_A**3)),0.1994299896410489,-0.26999446620407563,0.014162594818353066
206,(EA_A + IP_B**3)/((IP_B**2)),0.2007097727088897,0.2217969218126054,0.04521583884455249
207,(EA_A + IP_B**3)/((IP_B**3)),0.2076384529436161,0.11828446860766614,0.2898782707551466
208,(EA_A + IP_B**3)/((Z_A**2)),0.228155277859398,-0.058345079192283024,0.6025966338141525
209,(EA_A + IP_B**3)/((Z_A**3)),0.2214109173741849,-0.02214200182158097,0.8434750853214836
210,(EA_A + IP_B**3)/((Z_B**2)),0.2118364698352725,-0.01952772285791994,0.8617609921228229
211,(EA_A + IP_B**3)/((Z_B**3)),0.211664368557801,-0.10072209938873254,0.36792456073096136
212,(EA_A + IP_B**3)/((rp_A**2)),0.1438708056073387,-0.6211938523897955,4.762399444035722e-10
